growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	[_'_c_e_l_l___r_u_l_e_'_,_ _'_1_'_,_ _'_5_'_]	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
9.134859e-03	1.639688e+02	5.818722e+02	1.343164e+03	2.502098e+01	5.585919e-04	2.994957e+00	3.078842e+00
9.134859e-03	1.639688e+02	5.818722e+02	1.343164e+03	2.502098e+01	5.585919e-04	3.685416e+00	2.429192e+00
1.006805e-01	1.684545e+02	5.818722e+02	9.914970e+02	2.174109e+01	1.159457e-04	2.994957e+00	2.429192e+00
1.006805e-01	1.684545e+02	4.575438e+02	1.343164e+03	2.174109e+01	1.159457e-04	2.994957e+00	2.429192e+00
1.006805e-01	1.684545e+02	4.575438e+02	9.914970e+02	2.502098e+01	1.159457e-04	2.994957e+00	2.429192e+00
9.134859e-03	1.639688e+02	4.575438e+02	9.914970e+02	2.174109e+01	5.585919e-04	2.994957e+00	2.429192e+00
1.006805e-01	1.684545e+02	4.575438e+02	9.914970e+02	2.174109e+01	1.159457e-04	3.685416e+00	2.429192e+00
1.006805e-01	1.684545e+02	4.575438e+02	9.914970e+02	2.174109e+01	1.159457e-04	2.994957e+00	3.078842e+00
1.006805e-01	1.684545e+02	4.575438e+02	9.914970e+02	2.174109e+01	1.159457e-04	2.994957e+00	2.429192e+00
6.205602e-03	1.638253e+02	4.858129e+01	6.186303e+02	7.132629e+01	2.567260e-04	1.043057e+00	1.018544e+00
6.205602e-03	1.638253e+02	5.374356e+02	6.186303e+02	7.132629e+01	2.567260e-04	1.043057e+00	1.018544e+00
6.205602e-03	1.638253e+02	4.858129e+01	1.248357e+03	7.132629e+01	2.567260e-04	1.043057e+00	1.018544e+00
6.205602e-03	1.638253e+02	4.858129e+01	6.186303e+02	6.384357e+01	2.567260e-04	1.043057e+00	1.018544e+00
9.134859e-03	1.639688e+02	4.858129e+01	6.186303e+02	7.132629e+01	6.799580e-04	1.043057e+00	1.018544e+00
6.205602e-03	1.638253e+02	4.858129e+01	6.186303e+02	7.132629e+01	2.567260e-04	5.777730e-01	1.018544e+00
6.205602e-03	1.638253e+02	4.858129e+01	6.186303e+02	7.132629e+01	2.567260e-04	1.043057e+00	1.067505e+00
9.134859e-03	1.639688e+02	4.858129e+01	1.248357e+03	6.384357e+01	6.799580e-04	5.777730e-01	1.067505e+00
9.134859e-03	1.639688e+02	5.374356e+02	6.186303e+02	6.384357e+01	6.799580e-04	5.777730e-01	1.067505e+00
9.134859e-03	1.639688e+02	5.374356e+02	1.248357e+03	7.132629e+01	6.799580e-04	5.777730e-01	1.067505e+00
6.205602e-03	1.638253e+02	5.374356e+02	1.248357e+03	6.384357e+01	2.567260e-04	5.777730e-01	1.067505e+00
9.134859e-03	1.639688e+02	5.374356e+02	1.248357e+03	6.384357e+01	6.799580e-04	1.043057e+00	1.067505e+00
9.134859e-03	1.639688e+02	5.374356e+02	1.248357e+03	6.384357e+01	6.799580e-04	5.777730e-01	1.018544e+00
9.134859e-03	1.639688e+02	5.374356e+02	1.248357e+03	6.384357e+01	6.799580e-04	5.777730e-01	1.067505e+00
9.134859e-03	1.639688e+02	3.741404e+02	1.217185e+03	3.122849e+01	9.024210e-04	2.754248e-01	5.486863e-01
9.134859e-03	1.639688e+02	1.951929e+02	1.217185e+03	3.122849e+01	9.024210e-04	2.754248e-01	5.486863e-01
