nbr_apop	apop_pos	epi_size	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_epi_inter_epi_inter__	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
7.000000e+00	-7.193032e+01	1.577814e+02	4.278088e-01	6.995339e-01
7.000000e+00	-7.193032e+01	1.577814e+02	4.278088e-01	6.995339e-01
1.000000e+01	-4.252420e+01	1.536758e+02	5.810650e-01	3.411106e+00
1.000000e+01	-4.252420e+01	1.536758e+02	5.810650e-01	6.995339e-01
1.300000e+01	1.492444e+01	1.563500e+02	7.699592e-01	1.155496e+00
1.100000e+01	-6.517280e+00	1.621177e+02	4.171423e-01	1.155496e+00
1.300000e+01	1.492444e+01	1.563500e+02	7.699592e-01	2.471774e+00
1.300000e+01	1.492444e+01	1.563500e+02	7.699592e-01	2.471774e+00
1.100000e+01	-6.517280e+00	1.621177e+02	4.171423e-01	1.155496e+00
1.100000e+01	-6.517280e+00	1.621177e+02	4.171423e-01	2.471774e+00
1.400000e+01	-2.195594e+01	1.538913e+02	7.850343e-01	3.331998e+00
2.300000e+01	-1.838243e+00	1.524496e+02	8.178026e-01	3.331998e+00
1.400000e+01	-2.195594e+01	1.538913e+02	7.850343e-01	1.521535e+00
1.400000e+01	-2.195594e+01	1.538913e+02	7.850343e-01	1.521535e+00
2.300000e+01	-1.838243e+00	1.524496e+02	8.178026e-01	3.331998e+00
2.300000e+01	-1.838243e+00	1.524496e+02	8.178026e-01	1.521535e+00
8.000000e+00	4.920607e+00	1.557123e+02	3.764788e-01	1.107683e+00
1.700000e+01	-6.443674e+01	1.589705e+02	1.848598e-01	1.107683e+00
8.000000e+00	4.920607e+00	1.557123e+02	3.764788e-01	3.270656e+00
8.000000e+00	4.920607e+00	1.557123e+02	3.764788e-01	3.270656e+00
1.700000e+01	-6.443674e+01	1.589705e+02	1.848598e-01	1.107683e+00
1.700000e+01	-6.443674e+01	1.589705e+02	1.848598e-01	3.270656e+00
1.500000e+01	4.639446e-01	1.618345e+02	6.523544e-02	2.772867e+00
1.500000e+01	2.991098e+01	1.524318e+02	6.676586e-01	2.772867e+00
1.500000e+01	4.639446e-01	1.618345e+02	6.523544e-02	9.298587e-02
1.500000e+01	4.639446e-01	1.618345e+02	6.523544e-02	9.298587e-02
1.500000e+01	2.991098e+01	1.524318e+02	6.676586e-01	2.772867e+00
1.500000e+01	2.991098e+01	1.524318e+02	6.676586e-01	9.298587e-02
1.600000e+01	-6.308869e+01	1.523902e+02	7.194165e-01	5.407598e-01
1.400000e+01	-7.310573e+01	1.543883e+02	3.315863e-01	5.407598e-01
1.600000e+01	-6.308869e+01	1.523902e+02	7.194165e-01	2.824991e+00
1.600000e+01	-6.308869e+01	1.523902e+02	7.194165e-01	2.824991e+00
1.400000e+01	-7.310573e+01	1.543883e+02	3.315863e-01	5.407598e-01
1.400000e+01	-7.310573e+01	1.543883e+02	3.315863e-01	2.824991e+00
1.300000e+01	-6.950691e+01	1.562019e+02	5.375098e-01	2.330992e+00
