nbr_breaks	Group_epib1	Group_epib2	Group_epib2	Group_m2	Group_m2	Group_m1	Group_m3	Group_m3
0.000000e+00	6.035042e-01	5.357425e-01	9.363425e-01	7.945087e-01	4.694951e-01	6.799295e-01	9.847722e-01	2.569765e-01
1.100000e+01	6.035042e-01	3.985201e-01	1.325275e-01	5.403669e-01	5.943778e-01	1.639691e-01	9.847722e-01	2.569765e-01
1.700000e+01	5.968707e-01	5.357425e-01	9.363425e-01	5.403669e-01	5.943778e-01	1.639691e-01	9.847722e-01	2.569765e-01
1.700000e+01	5.968707e-01	3.985201e-01	1.325275e-01	7.945087e-01	4.694951e-01	1.639691e-01	9.847722e-01	2.569765e-01
3.000000e+00	5.968707e-01	3.985201e-01	1.325275e-01	5.403669e-01	5.943778e-01	6.799295e-01	9.847722e-01	2.569765e-01
1.000000e+01	5.968707e-01	3.985201e-01	1.325275e-01	5.403669e-01	5.943778e-01	1.639691e-01	8.467603e-02	5.054939e-01
1.200000e+01	5.968707e-01	3.985201e-01	1.325275e-01	5.403669e-01	5.943778e-01	1.639691e-01	9.847722e-01	2.569765e-01
1.000000e+00	8.123045e-02	6.773694e-02	4.688936e-01	2.413735e-01	8.818102e-01	4.180811e-01	8.017243e-01	1.446315e-01
1.000000e+00	3.376377e-01	6.773694e-02	4.688936e-01	2.413735e-01	8.818102e-01	4.180811e-01	8.017243e-01	1.446315e-01
1.000000e+00	8.123045e-02	9.317146e-01	6.229194e-01	2.413735e-01	8.818102e-01	4.180811e-01	8.017243e-01	1.446315e-01
1.000000e+00	8.123045e-02	6.773694e-02	4.688936e-01	1.846613e-02	4.121843e-01	4.180811e-01	8.017243e-01	1.446315e-01
0.000000e+00	8.123045e-02	6.773694e-02	4.688936e-01	2.413735e-01	8.818102e-01	9.004754e-01	8.017243e-01	1.446315e-01
3.000000e+00	8.123045e-02	6.773694e-02	4.688936e-01	2.413735e-01	8.818102e-01	4.180811e-01	4.299358e-01	6.209090e-01
0.000000e+00	8.123045e-02	9.317146e-01	6.229194e-01	1.846613e-02	4.121843e-01	9.004754e-01	4.299358e-01	6.209090e-01
0.000000e+00	3.376377e-01	6.773694e-02	4.688936e-01	1.846613e-02	4.121843e-01	9.004754e-01	4.299358e-01	6.209090e-01
0.000000e+00	3.376377e-01	9.317146e-01	6.229194e-01	2.413735e-01	8.818102e-01	9.004754e-01	4.299358e-01	6.209090e-01
2.000000e+00	3.376377e-01	9.317146e-01	6.229194e-01	1.846613e-02	4.121843e-01	4.180811e-01	4.299358e-01	6.209090e-01
0.000000e+00	3.376377e-01	9.317146e-01	6.229194e-01	1.846613e-02	4.121843e-01	9.004754e-01	8.017243e-01	1.446315e-01
0.000000e+00	3.376377e-01	9.317146e-01	6.229194e-01	1.846613e-02	4.121843e-01	9.004754e-01	4.299358e-01	6.209090e-01
3.100000e+01	4.304923e-01	8.014109e-01	6.770532e-01	5.415141e-01	5.831264e-01	3.390924e-02	2.752780e-01	3.152934e-01
3.000000e+01	4.947527e-02	8.014109e-01	6.770532e-01	5.415141e-01	5.831264e-01	3.390924e-02	2.752780e-01	3.152934e-01
3.200000e+01	4.304923e-01	7.018660e-01	7.593423e-01	5.415141e-01	5.831264e-01	3.390924e-02	2.752780e-01	3.152934e-01
3.600000e+01	4.304923e-01	8.014109e-01	6.770532e-01	3.209816e-01	9.353942e-01	3.390924e-02	2.752780e-01	3.152934e-01
0.000000e+00	4.304923e-01	8.014109e-01	6.770532e-01	5.415141e-01	5.831264e-01	2.832701e-01	2.752780e-01	3.152934e-01
4.000000e+01	4.304923e-01	8.014109e-01	6.770532e-01	5.415141e-01	5.831264e-01	3.390924e-02	1.251051e-01	2.121807e-01
3.000000e+00	4.304923e-01	7.018660e-01	7.593423e-01	3.209816e-01	9.353942e-01	2.832701e-01	1.251051e-01	2.121807e-01
1.000000e+01	4.947527e-02	8.014109e-01	6.770532e-01	3.209816e-01	9.353942e-01	2.832701e-01	1.251051e-01	2.121807e-01
1.000000e+00	4.947527e-02	7.018660e-01	7.593423e-01	5.415141e-01	5.831264e-01	2.832701e-01	1.251051e-01	2.121807e-01
3.000000e+01	4.947527e-02	7.018660e-01	7.593423e-01	3.209816e-01	9.353942e-01	3.390924e-02	1.251051e-01	2.121807e-01
7.000000e+00	4.947527e-02	7.018660e-01	7.593423e-01	3.209816e-01	9.353942e-01	2.832701e-01	2.752780e-01	3.152934e-01
