nbr_apoptosis	mean_pos_apop	epi_size	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	cell_rule_2_5	cell_rule_2_6
1.780000e+02	-1.469626e+01	3.810309e+01	8.550661e-04	4.983009e+00	3.713125e+00
1.860000e+02	-3.028046e+01	4.270110e+01	9.411237e-04	4.653938e+00	3.713125e+00
1.640000e+02	-3.206210e+01	4.609725e+01	9.411237e-04	4.983009e+00	2.541771e+00
1.730000e+02	-2.668308e+01	4.394850e+01	9.411237e-04	4.653938e+00	2.541771e+00
1.710000e+02	-2.310731e+01	3.495253e+01	8.550661e-04	4.983009e+00	2.541771e+00
1.760000e+02	-2.158865e+01	3.979525e+01	8.550661e-04	4.653938e+00	3.713125e+00
1.630000e+02	-2.468941e+01	4.303927e+01	8.550661e-04	4.653938e+00	2.541771e+00
5.000000e+00	3.496189e+01	1.934842e+02	3.230989e-04	6.032989e-01	2.336317e+00
4.000000e+00	-3.131975e+01	1.923237e+02	1.176084e-04	6.032989e-01	2.336317e+00
1.090000e+02	-3.559009e+00	1.462388e+02	3.230989e-04	2.676914e+00	2.336317e+00
0.000000e+00		1.958478e+02	3.230989e-04	6.032989e-01	3.730293e+00
7.700000e+01	-2.173212e+01	1.573798e+02	3.230989e-04	2.676914e+00	3.730293e+00
0.000000e+00		1.958478e+02	1.176084e-04	6.032989e-01	3.730293e+00
3.900000e+01	-7.347419e+00	1.732026e+02	1.176084e-04	2.676914e+00	2.336317e+00
3.000000e+01	-4.307358e+01	1.750651e+02	1.176084e-04	2.676914e+00	3.730293e+00
1.100000e+01	-4.094810e+01	1.877021e+02	7.033593e-05	3.119636e+00	4.052944e+00
1.520000e+02	-2.454719e+01	1.243341e+02	5.492246e-04	3.119636e+00	4.052944e+00
1.000000e+00	-6.667359e+01	1.935319e+02	7.033593e-05	1.276814e+00	4.052944e+00
9.000000e+00	-6.639730e+01	1.923405e+02	7.033593e-05	3.119636e+00	4.893919e+00
0.000000e+00		1.958478e+02	7.033593e-05	1.276814e+00	4.893919e+00
1.440000e+02	-1.407931e+01	1.284410e+02	5.492246e-04	3.119636e+00	4.893919e+00
1.100000e+01	-7.791785e+01	1.853034e+02	5.492246e-04	1.276814e+00	4.052944e+00
1.000000e+01	-7.628529e+01	1.861346e+02	5.492246e-04	1.276814e+00	4.893919e+00
1.470000e+02	-9.956631e+00	1.140979e+02	7.020672e-04	1.693051e+00	1.926178e+00
6.000000e+01	-2.354850e+01	1.657916e+02	2.946782e-04	1.693051e+00	1.926178e+00
1.740000e+02	-2.208255e+01	5.226638e+01	7.020672e-04	3.067047e+00	1.926178e+00
1.580000e+02	-1.913013e+01	1.022836e+02	7.020672e-04	1.693051e+00	1.830366e+00
1.600000e+02	-2.926970e+01	7.875709e+01	7.020672e-04	3.067047e+00	1.830366e+00
7.000000e+01	-9.924469e+00	1.590294e+02	2.946782e-04	1.693051e+00	1.830366e+00
1.420000e+02	-1.639271e+01	1.476492e+02	2.946782e-04	3.067047e+00	1.926178e+00
1.180000e+02	-1.383707e+01	1.479585e+02	2.946782e-04	3.067047e+00	1.830366e+00
1.640000e+02	-2.140003e+01	6.153282e+01	5.839344e-04	4.210183e+00	2.944766e+00
1.740000e+02	-1.723662e+01	1.022284e+02	4.104043e-04	4.210183e+00	2.944766e+00
1.720000e+02	-2.443565e+01	6.290865e+01	5.839344e-04	4.027549e+00	2.944766e+00
1.640000e+02	-1.668866e+01	9.253395e+01	5.839344e-04	4.210183e+00	2.129165e+00
1.600000e+02	-2.842412e+01	5.746402e+01	5.839344e-04	4.027549e+00	2.129165e+00
1.620000e+02	-1.859803e+01	7.456174e+01	4.104043e-04	4.210183e+00	2.129165e+00
1.720000e+02	-1.163301e+01	1.024478e+02	4.104043e-04	4.027549e+00	2.944766e+00
1.540000e+02	-2.609877e+01	7.131594e+01	4.104043e-04	4.027549e+00	2.129165e+00
6.700000e+01	-1.982619e+01	1.576304e+02	2.156711e-04	2.965250e+00	3.067559e+00
1.600000e+02	-2.786167e+01	6.800792e+01	6.871456e-04	2.965250e+00	3.067559e+00
1.000000e+00	-6.667359e+01	1.935362e+02	2.156711e-04	7.369944e-01	3.067559e+00
6.700000e+01	-1.982619e+01	1.576304e+02	2.156711e-04	2.965250e+00	3.067718e+00
1.000000e+00	-6.667359e+01	1.935319e+02	2.156711e-04	7.369944e-01	3.067718e+00
1.600000e+02	-2.786167e+01	6.800792e+01	6.871456e-04	2.965250e+00	3.067718e+00
7.000000e+00	-7.022952e+01	1.894589e+02	6.871456e-04	7.369944e-01	3.067559e+00
4.000000e+00	-3.391718e+00	1.927970e+02	6.871456e-04	7.369944e-01	3.067718e+00
1.750000e+02	-1.585126e+01	7.801131e+01	4.548378e-04	5.300119e+00	1.292463e+00
1.360000e+02	-2.436060e+01	1.529231e+02	2.440717e-04	5.300119e+00	1.292463e+00
1.520000e+02	-1.639652e+01	1.054860e+02	4.548378e-04	2.138380e+00	1.292463e+00
1.650000e+02	-1.792968e+01	9.236068e+01	4.548378e-04	5.300119e+00	4.310400e+00
5.100000e+01	-5.247659e+01	1.651383e+02	4.548378e-04	2.138380e+00	4.310400e+00
1.480000e+02	-1.639824e+01	1.176178e+02	2.440717e-04	5.300119e+00	4.310400e+00
9.200000e+01	-3.314142e+00	1.592481e+02	2.440717e-04	2.138380e+00	1.292463e+00
2.800000e+01	3.945632e+01	1.786152e+02	2.440717e-04	2.138380e+00	4.310400e+00
1.000000e+01	-7.628529e+01	1.861346e+02	8.368305e-04	1.102062e+00	4.665183e+00
8.000000e+00	-7.628529e+01	1.861946e+02	9.744565e-04	1.102062e+00	4.665183e+00
1.750000e+02	-3.294506e+01	4.033996e+01	8.368305e-04	5.615723e+00	4.665183e+00
1.350000e+02	-5.005530e+00	1.490620e+02	8.368305e-04	1.102062e+00	1.496877e+00
1.830000e+02	-3.141747e+01	4.441000e+01	8.368305e-04	5.615723e+00	1.496877e+00
1.690000e+02	-2.631048e+01	1.099890e+02	9.744565e-04	1.102062e+00	1.496877e+00
1.730000e+02	-3.021017e+01	4.006710e+01	9.744565e-04	5.615723e+00	4.665183e+00
1.760000e+02	-2.028507e+01	4.405314e+01	9.744565e-04	5.615723e+00	1.496877e+00
1.720000e+02	-3.316265e+01	5.472792e+01	8.245641e-04	4.392758e+00	3.452730e+00
1.540000e+02	-1.952846e+01	6.177952e+01	5.815908e-04	4.392758e+00	3.452730e+00
0.000000e+00		1.961222e+02	8.245641e-04	3.072383e-01	3.452730e+00
1.760000e+02	-3.028224e+01	4.236475e+01	8.245641e-04	4.392758e+00	1.792518e+00
1.400000e+01	3.443962e+01	1.889555e+02	8.245641e-04	3.072383e-01	1.792518e+00
1.740000e+02	-1.321198e+01	6.075118e+01	5.815908e-04	4.392758e+00	1.792518e+00
0.000000e+00		1.928214e+02	5.815908e-04	3.072383e-01	3.452730e+00
8.000000e+00	1.232204e+01	1.890040e+02	5.815908e-04	3.072383e-01	1.792518e+00
1.530000e+02	-2.623464e+01	1.343991e+02	4.435608e-04	2.772468e+00	2.575953e+00
1.020000e+02	-1.809051e+01	1.484462e+02	3.287071e-04	2.772468e+00	2.575953e+00
1.570000e+02	-1.829814e+01	7.665022e+01	4.435608e-04	4.353310e+00	2.575953e+00
1.020000e+02	-1.710663e+01	1.449127e+02	4.435608e-04	2.772468e+00	4.979118e+00
1.710000e+02	-2.694108e+01	7.810806e+01	4.435608e-04	4.353310e+00	4.979118e+00
6.200000e+01	-3.125579e+01	1.655433e+02	3.287071e-04	2.772468e+00	4.979118e+00
1.590000e+02	-1.972833e+01	1.140925e+02	3.287071e-04	4.353310e+00	2.575953e+00
